case,amplitude,tau_scale,satisfied,miss_m,angle_error_deg,stress_satisfied,stress_miss_m,stress_angle_error_deg,qp_failures,stress_qp_failures
"zero-tau-baseline",0.00000000,0.60000000,0,4.66671765,-3.57061980,0,6.33387987,-3.79658891,143,143
"joint-a0.01-tau0.25",0.01000000,0.25000000,0,70.33634270,-3.52820379,0,69.64780770,-3.70548856,143,142
"joint-a0.01-tau0.35",0.01000000,0.35000000,0,32.31182426,-0.13206829,0,31.48598218,-0.02481613,144,148
"joint-a0.01-tau0.45",0.01000000,0.45000000,0,22.31046372,0.04456491,0,20.72490933,0.05710499,142,141
"joint-a0.01-tau0.60",0.01000000,0.60000000,0,14.61999362,-0.15917770,0,17.66389039,-0.12942185,146,146
"joint-a0.01-tau0.75",0.01000000,0.75000000,0,10.66185364,-0.49392230,0,10.33037980,-0.39867408,137,144
"joint-a0.01-tau0.90",0.01000000,0.90000000,0,14.57998248,-1.03125482,0,13.04281832,-0.79355522,146,146
"joint-a0.01-tau1.10",0.01000000,1.10000000,0,13.88134095,-1.76673398,0,10.37492150,-1.84006605,140,141
"joint-a0.02-tau0.25",0.02000000,0.25000000,0,80.23593107,0.22279403,0,81.11397610,0.02715721,143,142
"joint-a0.02-tau0.35",0.02000000,0.35000000,0,50.54319862,2.00697828,0,50.31465231,2.00352647,153,153
"joint-a0.02-tau0.45",0.02000000,0.45000000,0,38.07080644,1.77756174,0,39.51317962,1.88975052,143,148
"joint-a0.02-tau0.60",0.02000000,0.60000000,0,26.43340370,1.30043576,0,26.14122898,1.31507325,147,142
"joint-a0.02-tau0.75",0.02000000,0.75000000,0,21.82813643,0.86398772,0,20.52385636,0.96699058,148,140
"joint-a0.02-tau0.90",0.02000000,0.90000000,0,14.96957204,0.59542018,0,14.91469555,0.67719819,153,145
"joint-a0.02-tau1.10",0.02000000,1.10000000,0,13.17089615,0.26380562,0,13.98246579,0.34423743,152,141
